symbol,rows,large_drop_winrate,large_drop_trades,best_drop_threshold,vol_drop_winrate,vol_drop_trades,rsi2_winrate,rsi2_trades,ml_accuracy,ml_auc,predictability_score,recommendation
PFC,4719,0.8333,6,-0.1,0.5556,18,0.6792,53,0.4502,0.5626,60.42,MODERATE
OIL,4079,0.8125,16,-0.08,0.4615,13,0.7636,55,0.459,0.5498,60.26,MODERATE
COALINDIA,3806,0.8,25,-0.05,0.7,10,0.56,50,0.4345,0.4527,60.25,MODERATE
HDFCBANK,7601,0.7143,14,-0.08,0.5556,18,0.6923,130,0.5534,0.5533,60.22,MODERATE
VBL,2330,0.75,4,-0.07,0.6667,6,0.7447,47,0.4764,0.5273,60.17,MODERATE
POLYCAB,1727,0.8,5,-0.1,0.5,12,0.6333,30,0.5452,0.5423,60.1,MODERATE
DALBHARAT,1804,0.8333,6,-0.08,0.5714,7,0.6364,22,0.4985,0.4624,59.93,LOW
POLICYBZR,1089,0.8,5,-0.08,0.5,12,0.7143,14,0.5103,0.5338,59.91,LOW
ICICIPRULI,2355,0.6923,13,-0.06,0.625,8,0.5455,33,0.5556,0.6016,59.81,LOW
MARUTI,5639,0.5882,68,-0.05,0.6471,17,0.6635,104,0.5053,0.527,59.52,LOW
UNOMINDA,4733,0.5696,79,-0.06,0.5926,27,0.7333,75,0.5147,0.5534,59.48,LOW
ICICIGI,2109,0.875,8,-0.06,0.5,6,0.7,20,0.4324,0.4667,59.36,LOW
ASTRAL,4702,0.5926,27,-0.07,0.6364,22,0.7822,101,0.5425,0.5196,59.2,LOW
PETRONET,5452,0.5532,47,-0.06,0.6429,14,0.6986,73,0.5278,0.5373,59.18,LOW
PATANJALI,5903,0.6591,44,-0.08,0.4762,42,0.6316,95,0.5348,0.541,59.12,LOW
IDEA,4709,0.5763,59,-0.08,0.5122,41,0.6481,54,0.5693,0.5619,59.11,LOW
RECLTD,4456,0.75,8,-0.1,0.5625,16,0.625,56,0.5024,0.5646,59.02,LOW
LUPIN,6114,0.6296,54,-0.06,0.5455,33,0.7333,90,0.4854,0.4976,59.0,LOW
PIIND,3655,0.7391,23,-0.06,0.5833,12,0.6667,54,0.4652,0.4966,58.97,LOW
DIVISLAB,5724,0.6471,34,-0.07,0.5833,24,0.6809,94,0.524,0.4944,58.89,LOW
CDSL,2170,0.6667,3,-0.1,0.5714,7,0.7353,34,0.562,0.5725,58.86,LOW
TVSMOTOR,6404,0.6324,68,-0.07,0.5938,32,0.7204,93,0.4609,0.4803,58.81,LOW
HEROMOTOCO,5903,0.6667,3,-0.08,0.6957,23,0.6463,82,0.5326,0.5517,58.79,LOW
HINDUNILVR,7601,0.6207,29,-0.06,0.6875,16,0.6555,119,0.5032,0.521,58.78,LOW
KALYANKJIL,1246,0.6667,9,-0.07,0.5,10,0.8,15,0.5556,0.5601,58.69,LOW
SUPREMEIND,5903,0.5682,88,-0.05,0.6875,16,0.6667,111,0.4917,0.491,58.68,LOW
BIOCON,5442,0.6296,27,-0.07,0.4815,27,0.75,72,0.5527,0.566,58.62,LOW
BAJFINANCE,5903,0.5323,387,-0.03,0.5882,34,0.6604,106,0.544,0.5733,58.6,LOW
PHOENIXLTD,4679,0.6154,26,-0.08,0.5652,23,0.7532,77,0.5178,0.5654,58.5,LOW
VEDL,7601,0.7143,28,-0.1,0.5424,59,0.6667,93,0.4765,0.4998,58.44,LOW
COCHINSHIP,2140,0.7143,14,-0.07,0.6667,3,0.7,30,0.4289,0.5226,58.39,LOW
BHEL,7598,0.7188,32,-0.1,0.5098,51,0.6881,109,0.4714,0.4867,58.38,LOW
AUBANK,2163,0.6,40,-0.05,0.5625,16,0.6923,26,0.5267,0.5205,58.34,LOW
M&M,7599,0.5641,39,-0.08,0.7097,31,0.6364,121,0.5021,0.5238,58.24,LOW
ABB,5906,0.75,4,-0.1,0.6364,22,0.5978,92,0.4785,0.5071,57.99,LOW
MARICO,7514,0.6364,22,-0.07,0.48,25,0.7949,117,0.5136,0.5727,57.87,LOW
ADANIENT,5905,0.6667,30,-0.1,0.5745,47,0.6344,93,0.5172,0.4647,57.86,LOW
BDL,1988,0.5568,88,-0.04,0.5,10,0.5938,32,0.5492,0.5952,57.8,LOW
BHARTIARTL,5903,0.5848,171,-0.04,0.4333,30,0.7525,101,0.5146,0.5519,57.71,LOW
ALKEM,2543,0.75,4,-0.07,0.375,8,0.7143,35,0.5529,0.5464,57.69,LOW
ADANIGREEN,1930,0.5909,44,-0.05,0.5385,13,0.7241,29,0.4803,0.5422,57.59,LOW
CANBK,5778,0.7143,21,-0.1,0.6111,18,0.6818,88,0.4337,0.4812,57.57,LOW
ITC,7598,0.6667,6,-0.1,0.5714,28,0.7787,122,0.513,0.5161,57.53,LOW
LICHSGFIN,5903,0.6364,33,-0.08,0.5517,29,0.6667,84,0.5059,0.4969,57.44,LOW
