contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,symbol
SPY260414P00665000,2026-04-13 20:14:45+00:00,665.0,0.04,0.04,0.05,-0.65,-94.202896,22141.0,3084.0,0.273444765625,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00666000,2026-04-13 20:14:30+00:00,666.0,0.05,0.04,0.05,-0.72999996,-93.58974,10709.0,1322.0,0.2617261328125,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00667000,2026-04-13 20:14:29+00:00,667.0,0.04,0.04,0.05,-0.84,-95.454544,9479.0,1153.0,0.25098405273437496,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00668000,2026-04-13 20:14:59+00:00,668.0,0.05,0.05,0.06,-0.93,-94.89796,23917.0,1931.0,0.2461012890625,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00669000,2026-04-13 20:14:14+00:00,669.0,0.06,0.06,0.07,-1.0200001,-94.44445,7664.0,766.0,0.24024197265624997,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00670000,2026-04-13 20:14:56+00:00,670.0,0.07,0.06,0.07,-1.16,-94.308945,50610.0,4751.0,0.22754678710937498,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00671000,2026-04-13 20:14:45+00:00,671.0,0.09,0.07,0.08,-1.28,-93.43066,12734.0,655.0,0.22071091796874998,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00672000,2026-04-13 20:14:41+00:00,672.0,0.1,0.09,0.1,-1.5,-93.75,13848.0,1284.0,0.215828154296875,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00673000,2026-04-13 20:14:21+00:00,673.0,0.12,0.11,0.12,-1.63,-93.14286,19621.0,1938.0,0.20996883789062498,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00674000,2026-04-13 20:14:45+00:00,674.0,0.14,0.13,0.14,-1.78,-92.708336,30445.0,1207.0,0.20264469238281246,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00675000,2026-04-13 20:14:56+00:00,675.0,0.16,0.15,0.16,-1.9900001,-92.55814,55006.0,3245.0,0.194343994140625,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00676000,2026-04-13 20:14:59+00:00,676.0,0.19,0.19,0.2,-2.24,-92.18107,36915.0,1858.0,0.18946123046875002,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00677000,2026-04-13 20:14:56+00:00,677.0,0.22,0.22,0.23,-2.48,-91.85185,48049.0,1926.0,0.180672255859375,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00678000,2026-04-13 20:14:58+00:00,678.0,0.28,0.27,0.28,-2.83,-90.99679,52438.0,3474.0,0.17383638671875,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00679000,2026-04-13 20:14:58+00:00,679.0,0.32,0.32,0.34,-3.1100001,-90.670555,74627.0,2234.0,0.1667563793945313,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00680000,2026-04-13 20:14:58+00:00,680.0,0.41,0.4,0.41,-3.4099998,-89.26701,85354.0,2732.0,0.15894395751953128,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00681000,2026-04-13 20:14:58+00:00,681.0,0.5,0.5,0.51,-3.8899999,-88.61048,55010.0,2342.0,0.15210808837890627,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00682000,2026-04-13 20:14:55+00:00,682.0,0.62,0.61,0.63,-4.29,-87.37271,78759.0,952.0,0.1445398046875,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00683000,2026-04-13 20:14:58+00:00,683.0,0.77,0.77,0.79,-4.71,-85.948906,60687.0,422.0,0.1373377282714844,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00684000,2026-04-13 20:14:59+00:00,684.0,1.0,0.99,1.0,-5.34,-84.22713,45410.0,133.0,0.13037979003906247,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00685000,2026-04-13 20:14:58+00:00,685.0,1.28,1.27,1.29,-5.7,-81.661896,28164.0,325.0,0.12476461181640625,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00686000,2026-04-13 20:14:59+00:00,686.0,1.65,1.64,1.67,-5.91,-78.17461,20205.0,241.0,0.12000391723632811,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00687000,2026-04-13 20:14:49+00:00,687.0,2.14,2.1,2.15,-6.16,-74.216866,4625.0,87.0,0.11585356811523437,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00688000,2026-04-13 20:14:46+00:00,688.0,2.72,2.65,2.77,-6.34,-69.97792,3252.0,26.0,0.11499908447265625,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00689000,2026-04-13 20:11:15+00:00,689.0,3.48,3.33,3.47,-6.81,-66.180756,1471.0,217.0,0.11316804809570313,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00690000,2026-04-13 20:14:46+00:00,690.0,4.16,4.13,4.2,-6.8199997,-62.112934,2351.0,101.0,0.1054776953125,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00691000,2026-04-13 20:14:53+00:00,691.0,4.94,4.9,5.19,-7.4100003,-60.000004,268.0,6.0,0.1215908154296875,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00692000,2026-04-13 20:05:35+00:00,692.0,6.1,5.81,6.1,-7.1,-53.78788,55.0,24.0,0.12476461181640625,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00694000,2026-04-13 19:55:40+00:00,694.0,8.0,7.72,8.02,-6.3999996,-44.444443,59.0,14.0,0.1381922119140625,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00695000,2026-04-13 19:58:08+00:00,695.0,10.19,7.59,10.12,-5.9900007,-37.021015,10.0,4.0,0.2963937548828125,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00696000,2026-04-10 15:43:32+00:00,696.0,15.72,8.58,11.11,0.0,0.0,,,0.3149482568359374,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00699000,2026-04-10 19:45:31+00:00,699.0,19.8,11.57,14.1,0.0,0.0,,,0.3698793481445312,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00700000,2026-04-13 17:24:09+00:00,700.0,17.68,12.56,15.1,0.10000038,0.5688304,77.0,,0.38794557373046873,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00705000,2026-04-10 15:09:24+00:00,705.0,24.58,17.56,20.1,0.0,0.0,,,0.47461462890625,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00710000,2026-04-10 15:19:12+00:00,710.0,27.06,22.43,25.25,0.0,0.0,8.0,0.0,0.5766643896484375,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00715000,2026-04-10 14:29:15+00:00,715.0,34.58,27.42,30.25,0.0,0.0,,,0.6567417138671876,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00725000,2026-04-13 15:01:06+00:00,725.0,45.69,37.42,40.25,-4.41,-8.802396,2.0,1.0,0.8085956640624999,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00740000,2026-04-07 19:45:54+00:00,740.0,81.0,52.42,55.25,0.0,0.0,,,1.0210009887695315,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00750000,2026-04-07 19:45:54+00:00,750.0,91.0,62.42,65.25,0.0,0.0,,,1.1547893823242186,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00755000,2026-04-06 19:53:47+00:00,755.0,97.91,67.42,70.25,0.0,0.0,,0.0,1.2197304638671875,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00760000,2026-04-06 19:53:47+00:00,760.0,102.89,72.42,75.25,0.0,0.0,2.0,0.0,1.2836949877929684,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00770000,2026-04-06 19:53:49+00:00,770.0,112.91,82.42,85.25,0.0,0.0,,0.0,1.408206083984375,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00775000,2026-04-06 19:53:49+00:00,775.0,117.89,87.42,90.25,0.0,0.0,2.0,0.0,1.46875265625,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00880000,2026-04-06 19:53:49+00:00,880.0,222.91,192.42,195.25,0.0,0.0,,,2.583011354980469,True,REGULAR,USD,2026-04-14,SPY
SPY260414P00885000,2026-04-06 19:53:49+00:00,885.0,227.89,197.42,200.25,0.0,0.0,3.0,0.0,2.630374517822266,True,REGULAR,USD,2026-04-14,SPY
SPY260415P00500000,2026-04-13 20:01:56+00:00,500.0,0.01,0.0,0.01,0.0,0.0,501.0,1175.0,1.2500037499999999,False,REGULAR,USD,2026-04-15,SPY
SPY260415P00505000,2026-04-08 17:06:57+00:00,505.0,0.01,0.0,0.01,0.0,0.0,2.0,202.0,1.21875390625,False,REGULAR,USD,2026-04-15,SPY
SPY260415P00510000,2026-04-08 16:40:14+00:00,510.0,0.02,0.0,0.01,0.0,0.0,53.0,53.0,1.1875040625,False,REGULAR,USD,2026-04-15,SPY
SPY260415P00520000,2026-04-10 13:32:58+00:00,520.0,0.01,0.0,0.01,0.0,0.0,10.0,11.0,1.125004375,False,REGULAR,USD,2026-04-15,SPY
SPY260415P00525000,2026-04-09 18:52:01+00:00,525.0,0.01,,0.01,0.0,0.0,,162.0,1.140629296875,False,REGULAR,USD,2026-04-15,SPY
SPY260415P00530000,2026-04-09 20:04:05+00:00,530.0,0.01,,0.01,0.0,0.0,,38.0,1.09375453125,False,REGULAR,USD,2026-04-15,SPY
SPY260415P00535000,2026-04-08 14:03:11+00:00,535.0,0.03,0.0,0.01,0.0,0.0,75.0,108.0,1.000005,False,REGULAR,USD,2026-04-15,SPY
SPY260415P00540000,2026-04-10 15:59:33+00:00,540.0,0.01,0.0,0.01,0.0,0.0,36.0,104.0,0.9687503125,False,REGULAR,USD,2026-04-15,SPY
SPY260415P00545000,2026-04-08 16:41:37+00:00,545.0,0.04,,0.01,0.0,0.0,,276.0,0.98437515625,False,REGULAR,USD,2026-04-15,SPY
SPY260415P00550000,2026-04-13 13:30:01+00:00,550.0,0.01,0.0,0.01,-0.01,-50.0,100.0,1045.0,0.9062509375,False,REGULAR,USD,2026-04-15,SPY
SPY260415P00555000,2026-04-13 17:57:15+00:00,555.0,0.01,0.0,0.01,0.0,0.0,1.0,243.0,0.87500125,False,REGULAR,USD,2026-04-15,SPY
SPY260415P00560000,2026-04-10 17:34:28+00:00,560.0,0.02,0.0,0.01,0.0,0.0,2.0,348.0,0.8437515624999999,False,REGULAR,USD,2026-04-15,SPY
SPY260415P00565000,2026-04-10 18:30:36+00:00,565.0,0.02,0.0,0.01,0.0,0.0,81.0,669.0,0.79687703125,False,REGULAR,USD,2026-04-15,SPY
SPY260415P00570000,2026-04-13 19:45:27+00:00,570.0,0.01,0.0,0.01,-0.01,-50.0,1.0,793.0,0.7656273437500001,False,REGULAR,USD,2026-04-15,SPY
SPY260415P00575000,2026-04-13 14:30:44+00:00,575.0,0.01,0.0,0.01,-0.01,-50.0,2.0,545.0,0.73437765625,False,REGULAR,USD,2026-04-15,SPY
SPY260415P00580000,2026-04-13 19:50:02+00:00,580.0,0.01,0.0,0.01,-0.02,-66.66667,217.0,2218.0,0.6875031250000001,False,REGULAR,USD,2026-04-15,SPY
SPY260415P00585000,2026-04-13 18:04:05+00:00,585.0,0.01,0.0,0.01,-0.02,-66.66667,402.0,1575.0,0.6562534375000001,False,REGULAR,USD,2026-04-15,SPY
SPY260415P00590000,2026-04-13 18:33:49+00:00,590.0,0.01,0.0,0.01,-0.02,-66.66667,117.0,2270.0,0.6250037500000001,False,REGULAR,USD,2026-04-15,SPY
